epoch,accuracy,loss,val_accuracy,val_loss
0,0.6303223967552185,0.6734181642532349,0.6725726127624512,0.6596798300743103
1,0.6959526538848877,0.6484914422035217,0.6923977732658386,0.6429908871650696
2,0.7172040343284607,0.6307662129402161,0.7176085114479065,0.6259939074516296
3,0.73215651512146,0.6151372194290161,0.7256478071212769,0.6116033792495728
4,0.7387616634368896,0.6015247702598572,0.7300967574119568,0.6003471612930298
5,0.7492533326148987,0.5877043604850769,0.7422728538513184,0.5884340405464172
6,0.7553415298461914,0.5761475563049316,0.7421167492866516,0.5773170590400696
7,0.7583281993865967,0.5650829076766968,0.7410240173339844,0.5733746886253357
8,0.7620041370391846,0.5564590096473694,0.747502326965332,0.5587660670280457
9,0.7661395072937012,0.547077476978302,0.7495316863059998,0.5602150559425354
10,0.7678051590919495,0.5393323302268982,0.7490633726119995,0.5504129528999329
11,0.7725532054901123,0.5305219292640686,0.748048722743988,0.5421286821365356
12,0.7749081254005432,0.523079514503479,0.7557758092880249,0.5346214175224304
13,0.7769566774368286,0.5170279145240784,0.7610833644866943,0.5265052914619446
14,0.7807474136352539,0.508483350276947,0.7581954598426819,0.5274484157562256
15,0.7817047238349915,0.5039190053939819,0.7604589462280273,0.5163484811782837
16,0.7851700186729431,0.49691805243492126,0.7608491778373718,0.5129815936088562
17,0.7878503799438477,0.49107232689857483,0.7660006284713745,0.5068097114562988
18,0.7882524132728577,0.4863283932209015,0.7719325423240662,0.5003642439842224
19,0.7926558256149292,0.479445219039917,0.7577271461486816,0.5113662481307983
20,0.7974421977996826,0.4750707745552063,0.7691227197647095,0.4943053424358368
21,0.7954893708229065,0.470394104719162,0.7727130651473999,0.48929667472839355
22,0.798571765422821,0.46415624022483826,0.7755229473114014,0.4897564649581909
23,0.8018073439598083,0.45979419350624084,0.7755229473114014,0.4827570915222168
24,0.8036835789680481,0.4552593231201172,0.7763034701347351,0.47946077585220337
25,0.8060575723648071,0.4504484236240387,0.7764595746994019,0.47616198658943176
26,0.8087953925132751,0.4456307291984558,0.7781767249107361,0.4728837013244629
27,0.8110927939414978,0.4408002495765686,0.7791133522987366,0.469590961933136
28,0.8138880133628845,0.4359438419342041,0.78207927942276,0.4662618041038513
29,0.8170661926269531,0.43105819821357727,0.7840306162834167,0.4628910422325134
30,0.8203591704368591,0.4261486530303955,0.7873087525367737,0.4594867527484894

















































31,0.82513427734375,0.41485440731048584,0.8040392398834229,0.44057199358940125

32,0.829041600227356,0.409553587436676,0.8117176294326782,0.4370540976524353

33,0.8333620429039001,0.4013903737068176,0.8008775115013123,0.43876805901527405

34,0.8378201723098755,0.39615461230278015,0.8108788132667542,0.42632102966308594

35,0.8389562368392944,0.39140233397483826,0.8192024827003479,0.4191966652870178

36,0.844567596912384,0.38415271043777466,0.8218479752540588,0.4230404794216156

37,0.844550371170044,0.37997862696647644,0.818686306476593,0.41737958788871765

38,0.8491978645324707,0.3743630349636078,0.8251387476921082,0.4105762243270874

39,0.8509708046913147,0.36919835209846497,0.823525607585907,0.4047376811504364

40,0.8538798093795776,0.3624423146247864,0.8268808722496033,0.408130019903183

41,0.8577699065208435,0.358114629983902,0.8238482475280762,0.405206561088562

42,0.8582862615585327,0.35398751497268677,0.8258485198020935,0.4022235572338104

43,0.8619526028633118,0.3489827811717987,0.8259130120277405,0.3974458873271942

44,0.8637599945068359,0.34438231587409973,0.8293328285217285,0.39196547865867615

45,0.8643624186515808,0.33953577280044556,0.8286875486373901,0.3909244239330292

46,0.8681492805480957,0.3349943459033966,0.8277196884155273,0.39110273122787476

47,0.8689238429069519,0.33125507831573486,0.8255903720855713,0.39222168922424316

48,0.8691475987434387,0.32756006717681885,0.8355271816253662,0.38082852959632874

49,0.8717467784881592,0.32343563437461853,0.829590916633606,0.38599714636802673

50,0.8757917881011963,0.31822511553764343,0.8271389603614807,0.3876541554927826

51,0.8733131289482117,0.3162784278392792,0.83042973279953,0.38205868005752563

52,0.8757573962211609,0.311832070350647,0.8321719169616699,0.38466277718544006

53,0.878666341304779,0.30969032645225525,0.826945424079895,0.38146647810935974

54,0.8798196315765381,0.3045066297054291,0.8346883654594421,0.377741277217865

55,0.8812138438224792,0.3020767271518707,0.8366885781288147,0.3702533543109894

56,0.8833826780319214,0.2990129888057709,0.8379145860671997,0.37069272994995117

57,0.8850523233413696,0.29519447684288025,0.8345593214035034,0.3723578453063965

58,0.8840540051460266,0.292413592338562,0.8392695784568787,0.3682962656021118

59,0.8856203556060791,0.28860750794410706,0.8323009610176086,0.3715706765651703

60,0.8885465264320374,0.2856045663356781,0.8285585045814514,0.3766121566295624

61,0.8880817890167236,0.28427568078041077,0.8259775638580322,0.38216373324394226

62,0.8908186554908752,0.282392293214798,0.8373338580131531,0.36997121572494507

63,0.8908874988555908,0.278562068939209,0.828235924243927,0.3785402774810791

64,0.8907325863838196,0.2759377062320709,0.8324300050735474,0.36689215898513794

65,0.8931251764297485,0.27350789308547974,0.8368176817893982,0.3705769181251526

66,0.8940374255180359,0.2697879374027252,0.8368176817893982,0.3700454533100128

67,0.8950358033180237,0.26824238896369934,0.8337205052375793,0.3702392280101776

68,0.8957242965698242,0.26527443528175354,0.8327525854110718,0.37010395526885986
