acc_left,acc_right,accuracy,n_left,n_right,n_windows,pair,status,subject,swap,switches
0.7310924369747899,0.8376068376068376,0.7838983050847458,119,117,236,16,OK,sub-002,False,7
0.9047619047619048,0.7909090909090909,0.8516949152542372,126,110,236,16,OK,sub-003,False,8
0.7540983606557377,0.6666666666666666,0.711864406779661,122,114,236,16,OK,sub-004,False,8
0.5625,0.8145161290322581,0.6949152542372882,112,124,236,16,OK,sub-005,False,8
0.7899159663865546,0.7521367521367521,0.7711864406779662,119,117,236,16,OK,sub-006,False,8
0.7521367521367521,0.5378151260504201,0.6440677966101694,117,119,236,16,OK,sub-007,False,8
0.8347107438016529,0.7652173913043478,0.8008474576271186,121,115,236,16,OK,sub-008,False,8
0.8617886178861789,0.5929203539823009,0.7330508474576272,123,113,236,16,OK,sub-009,False,8
0.6942148760330579,0.6521739130434783,0.673728813559322,121,115,236,16,OK,sub-010,False,8
0.796875,0.8240740740740741,0.809322033898305,128,108,236,16,OK,sub-011,False,8
0.8,0.5873015873015873,0.6864406779661016,110,126,236,16,OK,sub-012,False,7
0.8230088495575221,0.7967479674796748,0.809322033898305,113,123,236,16,OK,sub-013,False,8
0.7073170731707317,0.8230088495575221,0.7627118644067796,123,113,236,16,OK,sub-015,False,8
0.8032786885245902,0.6140350877192983,0.711864406779661,122,114,236,16,OK,sub-016,False,8
0.8,0.75,0.7754237288135594,120,116,236,16,OK,sub-018,False,8
0.782258064516129,0.7767857142857143,0.7796610169491526,124,112,236,16,OK,sub-019,False,8
0.6218487394957983,0.6752136752136753,0.6483050847457628,119,117,236,16,OK,sub-024,False,8
0.7830188679245284,0.7923076923076923,0.788135593220339,106,130,236,16,OK,sub-025,False,8
0.7983193277310925,0.717948717948718,0.7584745762711864,119,117,236,16,OK,sub-026,False,7
0.831858407079646,0.8373983739837398,0.8347457627118644,113,123,236,17,OK,sub-027,False,7
0.7454545454545455,0.8412698412698413,0.7966101694915254,110,126,236,17,OK,sub-028,False,8
0.7899159663865546,0.7435897435897436,0.7669491525423728,119,117,236,17,OK,sub-029,False,7
0.8442622950819673,0.8333333333333334,0.8389830508474576,122,114,236,17,OK,sub-030,False,7
0.9105691056910569,0.8230088495575221,0.8686440677966102,123,113,236,17,OK,sub-031,False,8
0.768595041322314,0.9304347826086956,0.847457627118644,121,115,236,18,OK,sub-032,True,8
0.675,0.8017241379310345,0.7372881355932204,120,116,236,18,OK,sub-033,True,8
0.628099173553719,0.7913043478260869,0.7076271186440678,121,115,236,18,OK,sub-034,True,8
0.8245614035087719,0.8032786885245902,0.8135593220338984,114,122,236,18,OK,sub-035,True,8
0.8508771929824561,0.8524590163934426,0.8516949152542372,114,122,236,18,OK,sub-036,True,8
0.6164383561643836,0.7111111111111111,0.6687116564417178,73,90,163,19,OK,sub-037,True,6
0.8108108108108109,0.898876404494382,0.8588957055214724,74,89,163,19,OK,sub-038,True,5
0.6153846153846154,0.8775510204081632,0.7730061349693251,65,98,163,19,OK,sub-039,True,5
0.8765432098765432,0.8414634146341463,0.8588957055214724,81,82,163,19,OK,sub-040,True,5
0.6923076923076923,0.7764705882352941,0.7361963190184049,78,85,163,19,OK,sub-041,True,5
0.8313253012048193,0.875,0.852760736196319,83,80,163,19,OK,sub-042,True,6
0.9682539682539683,0.8676470588235294,0.916030534351145,63,68,131,20,OK,sub-043,True,4
0.9384615384615385,0.8787878787878788,0.9083969465648855,65,66,131,20,OK,sub-044,True,4
0.8688524590163934,0.8285714285714286,0.8473282442748091,61,70,131,20,OK,sub-045,True,4
0.7321428571428571,0.92,0.8396946564885496,56,75,131,20,OK,sub-046,True,4
0.6981132075471698,0.8620689655172413,0.7837837837837838,53,58,111,21,OK,sub-047,True,3
0.8360655737704918,0.62,0.7387387387387387,61,50,111,21,OK,sub-048,True,3
0.7176470588235294,0.559322033898305,0.6527777777777778,85,59,144,22,OK,sub-049,False,5
0.7619047619047619,0.8333333333333334,0.7916666666666666,84,60,144,22,OK,sub-051,False,5
0.8024691358024691,0.6825396825396826,0.75,81,63,144,22,OK,sub-052,False,4
0.7361111111111112,0.625,0.6805555555555556,72,72,144,22,OK,sub-053,False,5
0.5949367088607594,0.6307692307692307,0.6111111111111112,79,65,144,22,OK,sub-054,False,5
0.96875,0.8375,0.8958333333333334,64,80,144,22,OK,sub-055,False,5
0.7176470588235294,0.847457627118644,0.7708333333333334,85,59,144,22,OK,sub-056,False,4
0.7758620689655172,0.925,0.8516949152542372,116,120,236,23,OK,sub-057,True,8
0.8728813559322034,0.7966101694915254,0.8347457627118644,118,118,236,23,OK,sub-058,True,8
0.811965811965812,0.865546218487395,0.8389830508474576,117,119,236,23,OK,sub-059,True,7
0.6178861788617886,0.8849557522123894,0.7457627118644068,123,113,236,23,OK,sub-060,True,9
0.7889908256880734,0.8346456692913385,0.8135593220338984,109,127,236,23,OK,sub-061,True,7
0.7433628318584071,0.8292682926829268,0.788135593220339,113,123,236,23,OK,sub-062,True,8
0.6666666666666666,0.7459016393442623,0.7076271186440678,114,122,236,24,OK,sub-063,True,8
0.7321428571428571,0.6129032258064516,0.6694915254237288,112,124,236,24,OK,sub-064,True,7
0.788135593220339,0.576271186440678,0.6822033898305084,118,118,236,24,OK,sub-065,True,8
0.8067226890756303,0.6581196581196581,0.7330508474576272,119,117,236,24,OK,sub-066,True,8
0.813953488372093,0.794392523364486,0.8050847457627118,129,107,236,24,OK,sub-067,True,8
0.743801652892562,0.7652173913043478,0.7542372881355932,121,115,236,24,OK,sub-068,True,7
0.7083333333333334,0.7068965517241379,0.7076271186440678,120,116,236,24,OK,sub-069,True,8
0.85,0.8706896551724138,0.8601694915254238,120,116,236,24,OK,sub-070,True,8
0.6944444444444444,0.5625,0.6228813559322034,108,128,236,24,OK,sub-071,True,8
0.8695652173913043,0.9008264462809917,0.885593220338983,115,121,236,25,OK,sub-072,True,8
0.7606837606837606,0.7310924369747899,0.7457627118644068,117,119,236,25,OK,sub-073,True,8
0.8898305084745762,0.7288135593220338,0.809322033898305,118,118,236,25,OK,sub-074,True,7
0.7256637168141593,0.7560975609756098,0.7415254237288136,113,123,236,25,OK,sub-075,True,8
0.7105263157894737,0.639344262295082,0.673728813559322,114,122,236,25,OK,sub-076,True,8
0.8828828828828829,0.824,0.8516949152542372,111,125,236,25,OK,sub-078,True,8
0.625,0.7068965517241379,0.6652542372881356,120,116,236,28,OK,sub-079,False,8
0.7459016393442623,0.7807017543859649,0.7627118644067796,122,114,236,28,OK,sub-080,False,7
0.6936936936936937,0.768,0.7330508474576272,111,125,236,28,OK,sub-082,False,7
0.5882352941176471,0.7948717948717948,0.690677966101695,119,117,236,28,OK,sub-083,False,7
0.8666666666666667,0.8362068965517241,0.8516949152542372,120,116,236,28,OK,sub-084,False,8
0.7333333333333333,0.8017241379310345,0.7669491525423728,120,116,236,28,OK,sub-085,False,7
